"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Stat3",0.0147978953623119,0.0867841187579537,-0.00528089605149887,-0.0160322938734145,-6.19027715759883e-05,-0.000646245048204661,-0.000333943060819142,5.64224122347954e-06,0.00178078782325213,0.000580254432674185,1.79405704117637e-05,-8.00800416064415e-06,-1.53990616787446e-07,-6.78889204526408e-07,-0.00020110071297995,2.1293715895376e-05,8.79151187904278e-06,0.000488395014975597,-1.08230185989727e-05,-5.22131945744861e-05
"Smad1",0.0143864704336342,0.0599808961994805,-0.0040834095560391,-0.0152381665384508,0.000443944992291911,0.00136999912159868,2.20476281979347e-05,1.47774250755482e-06,0.000234536488864129,-0.000610790642409765,2.51038613921341e-07,-3.51181827087157e-05,1.49916068581088e-07,1.3791347899565e-06,-0.000253387678038085,-3.08725282188161e-05,1.88969901022399e-06,-8.30394547067054e-05,-2.65269131108683e-06,-7.41752514683783e-05
"DNAse",0.0980382809790167,0.0388331855423366,-0.0317366242090549,0.0160647381310692,9.35390410135404e-05,1.90577394257119e-05,-0.000356777256560059,-1.22329377361166e-06,-0.0011512620845048,0.00127222133000671,2.49826651054726e-05,9.44878160171159e-05,2.91321691665512e-07,-1.90442098691258e-06,0.00189553250002406,-3.59973048023826e-05,1.35090634158767e-05,-0.00099648344901995,-2.21344131524992e-05,0.000314798172497721
"H3K20me3",0.0981526378025243,-0.109229968168582,0.0191841060055579,-0.0102619110249464,1.07638138000173e-05,7.34522203946901e-06,-0.000100916761590164,1.58725555962933e-07,-0.00105917883216234,0.000836849604829451,3.07837709838521e-05,0.000576639389030024,-2.42940935416696e-06,-2.2133223553434e-05,-0.00281142620995132,-0.000118887605958786,-0.000105373032452071,6.72313563029724e-05,2.14977816584477e-05,-2.50160529802056e-05
"H3K27me3",0.0981278158504258,-0.129744625455124,-0.0134362346273025,-0.00837479584464984,-0.000196031673497596,0.000556713683188269,2.74186670476858e-05,-1.7121322173651e-06,0.00103327375526818,-0.000545418739023114,-1.28078382307097e-05,-0.000209430272751102,-2.51112937075427e-07,-2.70307061490327e-06,-0.0078471787104189,3.91293160420531e-05,0.000207015130946384,0.00238124345334436,2.93234048676803e-05,0.00145827366519925
"H3K36me3",0.0984710902620711,0.0117022529475759,0.0189832960628706,0.00439070115411292,6.55861910814632e-05,-0.000167077034290392,3.28755121412758e-05,4.72957955628929e-07,0.000314574854714949,0.000352610806702855,-1.62785996995678e-05,-2.22031482340552e-05,3.61312092578686e-07,2.87836843452711e-06,0.0052907346449548,-2.93596081081155e-05,0.000534119307770462,-0.00305288035030489,-9.7150078466217e-05,0.000422628958528181
"H3K4me1",0.098464126986052,0.0146953853940645,-0.00821533252961076,0.00492852574167175,0.000160822914526398,-0.000950333838867327,0.000284256510271338,3.54375527978444e-06,-0.00117377701896945,-0.00310093819853417,-3.97044601864618e-05,-0.000109665056789499,-9.14971309609541e-08,2.77509650204791e-06,-0.00410564245047042,2.68709166416301e-06,-4.13840525336081e-05,0.00125037941080469,-1.08266392273094e-06,1.41345993727366e-05
"H3K4me2",0.0983042274976983,0.0422245158907616,-0.00171890631433191,0.00741136115418166,-3.33309719799339e-05,0.000132175713424358,0.000226744467416856,-1.17184399838777e-07,0.00198218972218319,0.000686879812200023,2.34631743409635e-05,7.25013861930546e-05,-3.8639022318168e-07,1.44279333945519e-06,0.00243344920094842,1.37772340329449e-05,-0.000356535620178782,-0.00466381820143081,-9.61748339208959e-05,0.00129454150006341
"H3K4me3",0.0985828062632519,0.0302863114799293,0.0018560564530055,0.00975037075982648,-1.92943131357119e-05,0.000209782156768155,6.31571213221538e-05,-7.49678692894911e-07,0.00129677015018293,0.000625301439523361,1.49028859412582e-05,2.04510268371801e-05,-3.55067699530942e-08,2.64292862761172e-06,0.00134081495822672,-7.15540004092308e-06,-9.12107442454482e-06,0.00415091883635174,0.000174444026294102,-0.00356635163225036
"H3K9me3",0.0981365225519606,-0.119015962014187,0.0134191066932953,-0.0140679330464277,-6.71293625968938e-05,5.80958072304677e-05,-0.000146703847750757,-3.43461530651548e-07,-0.00112526184345287,-0.000106941166027887,-2.06207206256793e-05,-0.000408857538163047,2.53617185078485e-06,1.81852464380817e-05,0.00467853812041608,0.000126913617979265,-0.000243521258341822,0.000385540567175744,-1.77360726272107e-05,-8.02068355533067e-05
