Gene,DNAse,H3K20me3,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K9me3
ENSMUSG00000000628,571.7052201,4389.713244,9064.225186,14908.82487,17023.24521,49637.70516,172726.9615,4266.988344
ENSMUSG00000000631,197.8567042,4325.644951,3040.310212,7278.848827,16279.53432,7256.231407,12743.58653,3609.194651
ENSMUSG00000000632,591.9416581,3892.632795,54955.19408,5164.489989,25270.84153,27841.13902,34738.82573,3738.246925
ENSMUSG00000000673,226.5798362,4119.239989,10626.56743,6001.493421,15238.13208,8931.185641,12179.61799,1723.214388
ENSMUSG00000000682,132.5148414,2378.565789,4642.405034,9447.660112,9670.745852,3722.520666,5911.522669,4233.504577
ENSMUSG00000000686,539.4104401,2571.817291,52654.27059,4238.606908,10686.80528,36818.64295,101051.2625,2572.115346
ENSMUSG00000000690,412.3909928,1352.778604,122670.8405,3560.928919,16992.23019,17018.47797,25949.58739,2607.060927
ENSMUSG00000000693,314.8265097,5014.473756,38647.90904,5115.167477,12477.83074,26226.66319,52606.00772,4418.154748
ENSMUSG00000000701,158.975435,347.4081093,1193.17849,250.3309497,0,481.2793192,574.0857408,209.2661613
ENSMUSG00000000702,143.5900716,191.6304348,365.1304348,118.6956522,0,0,57.91304348,45.65217391
ENSMUSG00000000706,273.7973388,5401.314145,16386.05449,3946.677632,13680.51251,42926.42134,36079.45638,2499.4754
ENSMUSG00000000708,424.3694985,3120.686928,1677.665046,3772.131007,24160.30506,45539.19258,78063.13666,1841.071653
ENSMUSG00000000711,521.3408393,3717.555063,3761.039617,19253.34311,25003.87336,20416.8085,68558.74292,2428.409539
ENSMUSG00000000724,157.912999,3008.43986,3254.220538,6365.749142,9036.142234,2186.043907,6898.619136,3636.349685
ENSMUSG00000000730,400.877175,5505.268593,6285.556565,18144.42935,27976.08953,40854.47998,69330.13244,5631.339245
ENSMUSG00000000731,261.703173,5412.041118,9011.856121,8945.282966,24455.57652,25371.00343,40231.39331,4567.292978
ENSMUSG00000000732,447.654043,2442.419551,8979.352045,29719.50987,7199.552203,16656.24378,41908.64045,4874.24764
ENSMUSG00000000738,605.2062436,3893.694293,3501.355835,10223.23699,11856.75722,31648.85669,110319.47,2817.56722
ENSMUSG00000000739,278.0910952,6537.932065,7032.955664,5723.467963,9344.290189,5012.586384,13480.37471,4857.774528
ENSMUSG00000000740,455.5609007,6092.591462,3424.875,27579.38401,18481.51316,49605.1973,164221.026,2490.67849
ENSMUSG00000000743,278.6693961,3420.649528,5085.202946,26187.92384,8330.621424,14193.59804,47831.62071,3237.838601
