Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000249494,0,38.61694081,0,3.790417411,0,239.1744133,874.0066841,0,2.778658996,0,161.3919276
ENSG00000222899,0,1.350563155,0,0,0,0,0,0,0,0,0
ENSG00000222419,0,21.67255024,0,0.272316834,0,0,0,0,0,0,0
ENSG00000202027,0,5.799176925,4.074108316,0.271728545,0,21.18747286,28.00792598,5.41845868,0,0,1.00E-24
ENSG00000160111,0,0.424712182,0,0.1412253,0,0,0,0,0,62.2114361,0
ENSG00000165985,0,69.1198078,0,0,0,0,0,152.7201551,0,0,0
ENSG00000169026,0,66.89008634,0,3.305682378,0,99.5412512,111.7586334,0,0.459082495,1.164863555,2.32E-20
ENSG00000253419,0,0.665053255,0,0,0,0,0,0,0,0,0
ENSG00000196220,0,19.4456717,172.8916498,21.60397075,0,110.9065667,168.6321015,0,3.258096296,262.3740343,216.2213008
ENSG00000232811,0,0.595261957,0,0.153338526,0,4.920845782,24.89862448,1.933147371,0.091798957,0,1.37E-32
ENSG00000131238,0,14.67755311,0,6.203776061,0,0,19.19574894,0,0,489.7860402,2195.732434
ENSG00000215206,0,0.667549954,0,0,0,0,141.7822231,0,0,0,5.57E-47
ENSG00000232044,0,0.368573729,0,0,0,0,0,0,0,0,0
ENSG00000088451,2.930280889,9.292837683,0,17.80972615,0,195.627508,872.7584736,0,1.295481523,0,407.4413593
ENSG00000240057,0,1.705213937,0,8.153264744,0,154.1064297,398.1854147,0,0.027130107,0,986.074097
ENSG00000239001,0,7.878670408,0,0,0,0,0,0,0,0,0
ENSG00000239343,0,35.16165649,0,0,0,0,0,0,0.057112741,0,1.93E-29
ENSG00000099330,0,36.13430209,12.37342446,11.08847452,0,1159.718011,1568.580087,344.8046262,0,0,95.86341774
ENSG00000155792,0,88.32365535,0,5.404168555,0,3.467054874,284.8598592,7.232802736,0,0,1792.12508
ENSG00000101146,0,76.95218505,0,10.18079251,0,100.5510046,225.5043071,0,1.80185922,0,185.5878121
ENSG00000238692,0,9.757782408,0,5.370974304,0,1504.472035,240.3206609,87.86059394,0,0,0.000320658
ENSG00000105053,3.66616319,45.70108269,0,23.87718717,1.694338532,2.508697218,1240.08737,91.25177813,4.089583683,2.801008159,10.6869652
ENSG00000197550,0,0,0,0,0,0,47.54181226,0,0,4.952105191,0
ENSG00000226724,0,648.9362809,0,0,0,0,0,0,0,0,0
ENSG00000121671,0,59.52510733,0,15.37529899,202.9809299,220.2264231,1875.008789,0,2.416407456,0,628.6683984
ENSG00000100577,0,55.18562599,0,14.45446229,105.0388191,0,1586.397893,0,0,0,92.42195487
ENSG00000256691,0,0.827103756,0,0,9.292033224,0,0,0,0,0,0
ENSG00000241002,0,7.169369577,0,0,0,0,55.1010971,0,1.690823666,0,0
ENSG00000241406,0,0,0,0,0,40.56363934,0,0,2.36114707,0,0
ENSG00000213963,0,7.407619095,0,5.163444451,0,0,169.5335889,117.196438,0,0,949.1208967
ENSG00000235777,0,7.363002013,0,0,0,0,0,0,0,0,0
ENSG00000216179,0,2.397507611,0,0,0,0,0,0,0,0,0
ENSG00000240066,0,0.608582966,0,0,0,0,82.914625,0,0,0,0
ENSG00000230718,0,8.112316815,0,0.062046361,0,0,0,0,0,0,0
ENSG00000231004,0,11.23800621,0,0,0,0,1.438646965,0,0,0,4.78E-42
ENSG00000223450,0,0.214978564,0,0,0,0,0,0,1.326997482,0,0
ENSG00000078114,0,7.133953744,0,0,0,0,0,0,0,0,0
ENSG00000211638,0,44.39663884,0,0,0,541.050666,185.7353599,0,0.806270528,0,0
ENSG00000181852,0,126.1200025,0,5.919524872,826.1767923,62.66052586,1031.234322,0,3.956930665,73.37067009,31.78934015
ENSG00000167553,0,101.4327661,0,1.698468296,0,0.589662257,117.6717861,33.50483991,7.026930741,0,6.34E-10
ENSG00000251818,0.317986088,3.19756344,0,0.081987774,412.0552286,0,33.33331644,0,0.23420172,0,0
ENSG00000205946,0,1.451608591,0,0,0,0,38.35560851,0,0,0,0
ENSG00000132139,0,44.66101742,0,0.686591442,571.4387998,0,19.3589284,0,0,0,7.74E-19
ENSG00000082258,0,52.19300021,0,21.95972505,0,131.9489,1237.911925,440.7708635,6.545922708,0,270.1986395
ENSG00000116062,0,102.1138103,0,14.49868559,0,128.9104544,751.3081202,0,0.020423431,11.6373109,61.15769858
ENSG00000235532,0,0.89787537,0,0,0,0,0,0,0,0,0
ENSG00000207139,0,5.591423853,0,0,0,0,0,0,0,0,0
ENSG00000175841,0,3.583446076,0,5.913378965,0,0,361.4524857,109.6592301,0.89999098,0,547.0852769
ENSG00000211855,0,7.972928948,0,4.516144862,0,91.96204836,17.21732757,300.3556378,6.764256291,0,226.0423525
ENSG00000186577,0,407.8544868,1.086762019,9.588423776,0,189.3866063,556.4417417,0,0,0,133.2527773
ENSG00000197943,0,56.94913599,0,5.464739589,0.592967448,204.84905,187.9391921,4.178083566,42.76450091,1036.222763,61.54923842
ENSG00000154222,0,39.09015132,0,63.05311394,0,0,431.8103947,0,0,1944.956385,98.33636199
ENSG00000047315,0,29.97004094,0,13.66506566,245.7306522,208.3575433,442.4430185,432.3802448,2.851786388,0,187.0538722
ENSG00000224310,0,1.004793559,0,23.6376451,0,0,53.96483985,0,0.6189015,0,0
ENSG00000186281,0,72.31782192,0,0.546382023,0,0,39.71280738,0,0,9.313711605,5.78E-44
ENSG00000215866,0,0,0,0,0,0,0,0,0,12.95167367,0
ENSG00000199994,0,2.011390738,0,0,0,0,0,0,0.078473912,0,1.27E-32
ENSG00000143217,0,13.35268004,4.364178539,3.969092666,0,8.146276392,38.85451612,34.4819451,1.029785311,2.658365594,2.92E-13
ENSG00000243941,0,79.33265353,0,0.072704984,885.6490421,1.94543912,64.86297272,0,0,0,4.99E-19
